files_A,files_B,overlap,overlap_ratio,total_changed_lines_A,total_changed_lines_B,total_overlap_ranges,total_overlap_lines,same_file_line_overlap_ratio,max_file_overlap,same_file_churn,churn,conflict
0,281,0,0.0,0,1148,0,0,0.0,0,0,7.046647277848756,0
0,11,0,0.0,0,51,0,0,0.0,0,0,3.9512437185814275,0
11,2,0,0.0,51,174,0,0,0.0,0,0,5.420534999272286,0
0,2,0,0.0,0,174,0,0,0.0,0,0,5.1647859739235145,0
11,1,0,0.0,51,21,0,0,0.0,0,0,4.290459441148391,0
3,1,0,0.0,168,21,0,0,0.0,0,0,5.247024072160486,0
3,628,2,0.003179650238473768,168,13492,2,11,0.0008052708638360175,6,9,9.522300336887486,1
0,2,0,0.0,0,6,0,0,0.0,0,0,1.9459101490553132,0
2,7,0,0.0,6,751,0,0,0.0,0,0,6.630683385642372,0
0,7,0,0.0,0,751,0,0,0.0,0,0,6.62273632394984,0
7,621,0,0.0,751,12739,0,0,0.0,0,0,9.509778075438817,0
0,276,0,0.0,0,929,0,0,0.0,0,0,6.835184586147301,0
0,5,0,0.0,0,142,0,0,0.0,0,0,4.962844630259907,0
0,12,0,0.0,0,318,0,0,0.0,0,0,5.765191102784844,0
2,3,0,0.0,313,61,0,0,0.0,0,0,5.926926025970411,0
3,227,0,0.0,61,13,0,0,0.0,0,0,4.31748811353631,0
0,227,0,0.0,0,13,0,0,0.0,0,0,2.6390573296152584,0
227,3,0,0.0,13,339,0,0,0.0,0,0,5.8664680569332965,0
0,2,0,0.0,0,37,0,0,0.0,0,0,3.6375861597263857,0
0,1,0,0.0,0,13,0,0,0.0,0,0,2.6390573296152584,0
1,31,0,0.0,13,10089,0,0,0.0,0,0,9.220587688427733,0
0,6,0,0.0,0,122,0,0,0.0,0,0,4.812184355372417,0
6,31,0,0.0,122,10089,0,0,0.0,0,0,9.231318778361375,0
0,30,0,0.0,0,10087,0,0,0.0,0,0,9.219101877644755,0
0,2,0,0.0,0,42,0,0,0.0,0,0,3.7612001156935624,0
0,5,0,0.0,0,347,0,0,0.0,0,0,5.8522024797744745,0
0,6,0,0.0,0,126,0,0,0.0,0,0,4.844187086458591,0
62,4,0,0.0,505,859,0,0,0.0,0,0,7.21890970761906,0
0,1,0,0.0,0,4,0,0,0.0,0,0,1.6094379124341003,0
0,1,0,0.0,0,852,0,0,0.0,0,0,6.748759547491679,0
0,4,0,0.0,0,545,0,0,0.0,0,0,6.302618975744905,0
0,2283,0,0.0,0,585858,0,0,0.0,0,0,13.280834425272406,0
185,51,22,0.102803738317757,8035,1981,19,561,0.05601038338658147,301,49,9.212038928611765,1
0,16,0,0.0,0,2409,0,0,0.0,0,0,7.787382026484701,0
3,8,0,0.0,6,174,0,0,0.0,0,0,5.198497031265826,0
7,8,1,0.07142857142857142,126,50,0,0,0.0,0,5,5.176149732573829,0
26,2,0,0.0,1037,8,0,0,0.0,0,0,6.952728644624869,0
26,6,1,0.03225806451612903,1025,37,0,0,0.0,0,2,6.968850378341948,0
10,49,6,0.11320754716981132,283,1099,5,29,0.020984081041968163,8,39,7.232010331664759,1
0,4,0,0.0,0,35,0,0,0.0,0,0,3.58351893845611,0
1,124,0,0.0,24,48934,0,0,0.0,0,0,10.798738492141016,0
0,15,0,0.0,0,153,0,0,0.0,0,0,5.0369526024136295,0
14,24,6,0.1875,85,407,10,54,0.10975609756097561,7,27,6.20050917404269,1
67,0,0,0.0,2723,0,0,0,0.0,0,0,7.909856667269403,0
1,5,0,0.0,14,81,0,0,0.0,0,0,4.564348191467836,0
0,4,0,0.0,0,60,0,0,0.0,0,0,4.110873864173311,0
